Room ID	Flag	Label	Description	set flag	Goto room	N	S	E	O	Items	Reset		
intro		Once upon a time…	June the 19th, 1977, 6 o'clock a.m.. You wake up in your comfortable bed in your beloved bedroom inside your beautiful mansion, Dr. Loob.		bedroom1-1								
bedroom1-1	-	Dr. Loob's Bedroom	The room is still covered by the dim light. Few rays of light pass through the shutters. On the night table near the bed you can distinguish a lamp.							lamp1-1, chair1-1, journal1-1,  desk1-1			
bedroom1-1	lamp1on	Dr. Loob's Bedroom	On the left there is the old dark wood desk and in front of it the comfortable chair, in the very same position you left it last night. On the south you can admire the beloved door that closes since always the world outside your bedroom and allows you to sleep peaceful nights.				antechamber1-1						
bedroom1-2	-	Dr. Loob's Bedroom	Nothing has changed. On the left there is the old dark wood desk and in front of it the comfortable chair, in the very same position you left it last night. On the south you can admire the beloved door that closes since always the world outside your bedroom and allows you to sleep peaceful nights.				antechamber1-2			message1-2, chair1-2, journal1-2, desk1-2			
bedroom1-3	-	Dr. Loob's Bedroom	Nothing has changed. On the left there is the old dark wood desk and in front of it the comfortable chair, in the very same position you left it last night. On the south you can admire the beloved door that closes since always the world outside your bedroom and allows you to sleep peaceful nights.				shortcut1-3			message1-3, chair1-3, journal1-3, desk1-3			
bedroom1-3	shortcutseen	Dr. Loob's Bedroom	Nothing has changed. On the left there is the old dark wood desk and in front of it the comfortable chair, in the very same position you left it last night. On the south you can admire the beloved door that closes since always the world outside your bedroom and allows you to sleep peaceful nights.				antechamber1-3						
antechamber1-1	-	Dr. Loob's Antechamber	The antechamber is perfectly tidy. After all, you spend there only a few minutes a day. Surely it is less than the time Miss Lucy passes in there by watering the yellow flowers which make their best impression on the windowsill.			bedroom1-1	corridor1-1	studio1-1		flowers1-1, window1-1			
antechamber1-2	-	Dr. Loob's Antechamber	The antechamber is perfectly tidy. After all, you spend there only a few minutes a day. Surely it is less than the time Miss Lucy passes in there by watering the yellow flowers which make their best impression on the windowsill. But all of them has no much time left.			bedroom1-2	corridor1-2	studio1-2		flowers1-2, window1-2			
antechamber1-3	-	Dr. Loob's Antechamber	The antechamber is perfectly tidy. After all, you spend there only a few minutes a day. Surely it is less than the time Miss Lucy passes in there by watering the yellow flowers which make their best impression on the windowsill. But all of them has no much time left.	shortcutseen		bedroom1-3	corridor1-3	gameover3		flowers1-3, window1-3			
studio1-1	-	Dr. Loob's Studio	Wow! Your studio is floodlit thanks to the reflection system generated by the mirrors and by the white of the walls. You decided to satisfy rationally that caprice of yours because this room is no less than your own studio, isn't it? In the middle of the room, a desk.						antechamber1-1	desk2-1, mirror1-1, blueprint1-1			
